,indicator_category,indicator,gender,race_ethnicity,rate,state,year
1524,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Female,All,13.0, IL,2012
1475,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Hispanic,526.9, IL,2012
1478,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,White,643.5, IL,2012
12987,Maternal and Child Health,Percent of Mothers Under Age 20,Both,Asian/PI,3.3, CA,2012
7475,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,2.0, PA,2012
12986,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,3.3, CA,2012
7210,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,All,818.2, CA,2012
1587,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,Hispanic,5.8, IL,2012
7479,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,3.0, PA,2012
1590,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,White,1.8, IL,2012
7482,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,3.8, PA,2012
1592,Demographics,Unemployment Rate Ages 16+,Both,All,13.7, IL,2012
7485,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,2.8, PA,2012
1593,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,1095.7, OH,2012
1594,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,1007.6, OH,2012
1595,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,1049.8, OH,2012
1602,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,1010.9, OH,2012
10782,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,136.5, CA,2012
10781,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,110.6, CA,2012
7194,Demographics,Percent of Children Living in Poverty,Both,All,32.7, CA,2012
7165,Demographics,Percent Foreign Born,Both,All,27.1, CA,2012
13050,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,Hispanic,5.4, CA,2012
7264,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Female,All,16.1, PA,2012
1482,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,16.4, IL,2012
13030,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Age-Adjusted; Per 100,000 people) *These data should not be compared across cities as they have different definitions.",Both,Black,4.9, CA,2012
7358,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,Black,18.5, PA,2012
1481,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,26.5, IL,2012
13028,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Black,4.8, CA,2012
7304,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,879.2, PA,2012
7303,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,713.8, PA,2012
7302,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,1107.5, PA,2012
1584,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,Black,4.9, IL,2012
7343,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,Asian/PI,147.9, PA,2012
7346,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,Black,2596.8, PA,2012
7265,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,All,28.2, PA,2012
7418,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Male,All,36.1, PA,2012
7419,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Female,All,4.5, PA,2012
7420,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Both,All,19.7, PA,2012
13048,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,5.4, CA,2012
1446,Maternal and Child Health,Percent of Mothers Under Age 20,Female,All,9.5, IL,2012
10805,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,All,8.8, CA,2012
7274,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Hispanic,34.6, PA,2012
1534,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,Hispanic,11.0, IL,2012
1525,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,All,12.8, IL,2012
1463,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Female,All,327.6, IL,2012
7378,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,228.8, PA,2012
1462,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Male,All,1355.9, IL,2012
13019,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Hispanic,4.6, CA,2012
1458,Maternal and Child Health,Percent of Mothers Under Age 20,Female,White,1.4, IL,2012
7381,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,145.2, PA,2012
1528,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,Asian/PI,12.4, IL,2012
1455,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Hispanic,10.9, IL,2012
7283,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,206.8, PA,2012
7384,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,187.1, PA,2012
7375,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,64.7, PA,2012
7282,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,259.0, PA,2012
1531,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,Black,8.3, IL,2012
7279,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,White,8.3, PA,2012
1451,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Black,17.4, IL,2012
10803,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Male,All,15.3, CA,2012
10790,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,163.6, CA,2012
7416,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,8.6, PA,2012
10795,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,159.0, CA,2012
13013,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,4.4, CA,2012
1431,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,All,9.7, IL,2012
13043,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,5.3, CA,2012
7348,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,White,12.2, PA,2012
7318,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,22.1, PA,2012
7350,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,Hispanic,1110.7, PA,2012
7317,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,18.7, PA,2012
10793,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,140.9, CA,2012
7353,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,White,1904.1, PA,2012
7316,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,26.7, PA,2012
7314,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,816.4, PA,2012
1487,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,20.2, IL,2012
7263,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Male,All,41.7, PA,2012
7290,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,101.4, PA,2012
1464,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,All,826.5, IL,2012
7271,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Black,45.5, PA,2012
7398,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,Black,50.2, PA,2012
10787,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,95.8, CA,2012
7401,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,Hispanic,38.9, PA,2012
1442,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,White,7.2, IL,2012
7404,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,White,10.9, PA,2012
7269,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Asian/PI,7.3, PA,2012
7406,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,4.8, PA,2012
7407,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,5.9, PA,2012
1439,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Hispanic,7.6, IL,2012
10808,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,Asian/PI,4.9, CA,2012
1436,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Black,14.2, IL,2012
1434,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Asian/PI,9.0, IL,2012
1536,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,White,11.8, OH,2012
7414,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,7.4, PA,2012
1815,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,White,4.1, OH,2012
1581,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,Asian/PI,29.6, IL,2012
10829,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,All,3.2, CA,2012
1758,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,12.1, OH,2012
1712,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Black,16.1, OH,2012
7002,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,White,1.6, NY,2012
13073,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Age-Adjusted; Per 100,000 people) *These data should not be compared across cities as they have different definitions.",Both,White,6.0, CA,2012
10821,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Both,All,4.9, CA,2012
13075,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,6.1, CA,2012
1385,Demographics,Percent of Children Living in Poverty,Both,All,34.4, IL,2012
1559,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Black,5.4, IL,2012
7459,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,63.2, PA,2012
1563,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Hispanic,3.9, IL,2012
13001,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,Asian/PI,28.5, CA,2012
7462,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,27.0, PA,2012
1567,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,White,11.6, IL,2012
7227,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,White,823.3, CA,2012
7463,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,56.2, PA,2012
13000,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,4.1, CA,2012
1571,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Male,All,7.2, IL,2012
7224,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Native American,494.2, CA,2012
10825,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,7.5, CA,2012
7220,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Multiracial,355.3, CA,2012
7218,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Hispanic,450.2, CA,2012
7466,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,2.3, PA,2012
7215,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Black,1629.8, CA,2012
7467,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,3.9, PA,2012
12993,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Age-Adjusted; Per 100,000 people) *These data should not be compared across cities as they have different definitions.",Both,All,3.5, CA,2012
7213,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Asian/PI,183.0, CA,2012
7451,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,56.9, PA,2012
12856,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",Both,White,0.0, CA,2012
7450,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,46.4, PA,2012
7832,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,White,7.0, AZ,2012
6806,Maternal and Child Health,Percent of Mothers Under Age 20,Female,All,4.7, NY,2012
7926,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Other,0.3, AZ,2012
7837,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,109.1, AZ,2012
6915,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,25.2, NY,2012
7838,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,109.1, AZ,2012
1077,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,567.2, IL,2012
7922,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Native American,15.3, AZ,2012
1817,Demographics,Median Household Income (Dollars),Both,All,41354.0, TX,2012
6912,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,White,867.9, NY,2012
12862,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,0.0, CA,2012
1074,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,1021.5, IL,2012
1864,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Black,7.6, OH,2012
1146,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,2.0, IL,2012
10615,Demographics,Percent of Children Living in Poverty,Both,All,16.7, CA,2012
10937,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,All,7.0, CA,2012
12895,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Both,Multiracial,0.0, CA,2012
10879,Demographics,Percent Foreign Born,Both,All,38.2, CA,2012
6933,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,25.2, NY,2012
1810,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,Other,5.7, OH,2012
6930,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,24.2, NY,2012
7828,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Native American,103.8, AZ,2012
1071,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,446.8, IL,2012
7939,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,All,136.0, AZ,2012
6927,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,28.6, NY,2012
1873,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,White,16.2, OH,2012
10612,Tobacco,Percent of Adults Who Currently Smoke,Male,All,14.4, CA,2012
7937,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Female,All,144.9, AZ,2012
1147,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,15.4, IL,2012
7936,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Male,All,127.1, AZ,2012
7203,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,White,6.5, DC,2012
10820,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Male,All,8.1, CA,2012
7427,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Both,Black,37.8, PA,2012
10780,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,168.5, CA,2012
7501,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,Black,43.4, PA,2012
7173,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Hispanic,8.5, DC,2012
7504,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,Hispanic,15.1, PA,2012
1617,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,39.3, OH,2012
7507,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,Other,21.3, PA,2012
1620,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,41.6, OH,2012
7510,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,White,25.2, PA,2012
1342,Demographics,Percent Foreign Born,Both,All,21.4, IL,2012
13080,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Asian/PI,6.3, CA,2012
1623,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,348.4, OH,2012
7513,Demographics,Percent 18+ High School Graduates,Both,All,81.9, PA,2012
1340,Demographics,Percent Below 200% Poverty Level,Both,All,45.4, IL,2012
13081,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,6.4, CA,2012
7516,Demographics,Percent Below 200% Poverty Level,Both,All,49.7, PA,2012
10774,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,5.5, CA,2012
7518,Demographics,Percent Foreign Born,Both,All,12.0, PA,2012
1624,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,330.7, OH,2012
7520,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Male,All,25.3, PA,2012
7494,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,All,25.2, PA,2012
7493,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Female,All,15.3, PA,2012
1605,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,1334.4, OH,2012
7492,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Male,All,36.2, PA,2012
12992,Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,Asian/PI,3.5, CA,2012
12991,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Age-Adjusted; Per 100,000 people) *These data should not be compared across cities as they have different definitions.",Both,Hispanic,3.4, CA,2012
7206,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Female,All,304.2, CA,2012
7205,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Male,All,1364.0, CA,2012
7498,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,Asian/PI,2.9, PA,2012
7449,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,73.2, PA,2012
1610,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,38.6, OH,2012
1608,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,44.1, OH,2012
13055,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,5.6, CA,2012
7430,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,18.4, PA,2012
1538,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,White,12.5, IL,2012
13058,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Age-Adjusted; Per 100,000 people) *These data should not be compared across cities as they have different definitions.",Male,All,5.6, CA,2012
13059,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Black,5.7, CA,2012
7258,Demographics,Unemployment Rate Ages 16+,Both,All,13.0, CA,2012
7433,Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",Both,White,3.2, PA,2012
10814,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,Hispanic,11.8, CA,2012
1541,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",Both,All,0.7, IL,2012
13005,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Hispanic,4.3, CA,2012
7468,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,3.1, PA,2012
13062,Maternal and Child Health,Percent of Mothers Under Age 20,Both,Multiracial,5.7, CA,2012
1545,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Male,All,12.5, IL,2012
1546,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Female,All,2.5, IL,2012
1034,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,162.3, IL,2012
1547,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,All,7.2, IL,2012
7440,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Asian/PI,6.1, PA,2012
7443,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Black,15.6, PA,2012
1554,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,6.0, IL,2012
13004,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,All,4.2, CA,2012
10817,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,White,8.5, CA,2012
7446,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Hispanic,6.7, PA,2012
7448,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,White,4.9, PA,2012
7437,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,All,10.1, PA,2012
10811,HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",Both,Black,25.4, CA,2012
1577,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Female,All,3.8, IL,2012
1578,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,All,5.4, IL,2012
1609,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,33.4, OH,2012
10110,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,744.1, CA,2012
1760,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,13.9, OH,2012
10112,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,626.2, CA,2012
571,Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,385.1, MA,2012
8725,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,7.9, OR,2012
8699,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Native American,67.2, OR,2012
590,Demographics,Median Household Income (Dollars),Both,All,24257.0, OH,2012
8696,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,34.0, OR,2012
10236,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,147.1, CA,2012
593,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,14.3, MA,2012
8692,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,51.8, OR,2012
